filepath,annotation,timestamp,height,width
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00275_20240501_140105_7.JPG",SP,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00275_20240501_140105_8.JPG",POC,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00275_20240501_140105_9.JPG",AA,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00237_20240501_135942_0.JPG",SP,20240501_135942,332,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/FVI_DSC00237_20240501_135942_1.JPG",FVI,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_2.JPG",AA,20240501_135942,431,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_3.JPG",AA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_4.JPG",AA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_5.JPG",AA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_6.JPG",AA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_7.JPG",AA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/LEPA_DSC00237_20240501_135942_8.JPG",LEPA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00237_20240501_135942_9.JPG",AA,20240501_135942,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00180_20240501_135734_0.JPG",AA,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00180_20240501_135734_1.JPG",POC,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00180_20240501_135734_2.JPG",AA,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00180_20240501_135734_3.JPG",AA,20240501_135734,313,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00180_20240501_135734_4.JPG",POC,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00180_20240501_135734_5.JPG",AA,20240501_135734,453,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00180_20240501_135734_6.JPG",POC,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00180_20240501_135734_7.JPG",AA,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00180_20240501_135734_8.JPG",AA,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00180_20240501_135734_9.JPG",SP,20240501_135734,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/MILL_DSC00287_20240501_140142_0.JPG",MILL,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00287_20240501_140142_1.JPG",AA,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00287_20240501_140142_2.JPG",AA,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00287_20240501_140142_3.JPG",AA,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00287_20240501_140142_4.JPG",SP,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00287_20240501_140142_5.JPG",AA,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/FAV_DSC00287_20240501_140142_6.JPG",FAV,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/FAV_DSC00287_20240501_140142_7.JPG",FAV,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00287_20240501_140142_8.JPG",AA,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00287_20240501_140142_9.JPG",AA,20240501_140142,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_0.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_1.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00288_20240501_140144_2.JPG",SP,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_3.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_4.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_5.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_6.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_7.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00288_20240501_140144_8.JPG",AA,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/OT_DSC00288_20240501_140144_9.JPG",OT,20240501_140144,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_0.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_1.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_2.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_3.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00165_20240501_135658_4.JPG",SP,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_5.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/FVI_DSC00165_20240501_135658_6.JPG",FVI,20240501_135658,264,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_7.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_8.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00165_20240501_135658_9.JPG",AA,20240501_135658,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00183_20240501_135743_0.JPG",SP,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_1.JPG",AA,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_2.JPG",AA,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_3.JPG",AA,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00183_20240501_135743_4.JPG",SP,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_5.JPG",AA,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00183_20240501_135743_6.JPG",SP,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_7.JPG",AA,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_8.JPG",AA,20240501_135743,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00183_20240501_135743_9.JPG",AA,20240501_135743,327,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_0.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_1.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_2.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_3.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_4.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_5.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_6.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_7.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_8.JPG",AA,20240501_140031,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00258_20240501_140031_9.JPG",AA,20240501_140031,421,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_0.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_1.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_2.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_3.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_4.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_5.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_6.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_7.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_8.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00260_20240501_140034_9.JPG",AA,20240501_140034,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_0.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_1.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_2.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_3.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_4.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_5.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_6.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/CA_DSC00251_20240501_140019_7.JPG",CA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_8.JPG",AA,20240501_140019,397,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00251_20240501_140019_9.JPG",AA,20240501_140019,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_0.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_1.JPG",AA,20240501_135946,404,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_2.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_3.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_4.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_5.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_6.JPG",AA,20240501_135946,372,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_7.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_8.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00239_20240501_135946_9.JPG",AA,20240501_135946,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_0.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_1.JPG",AA,20240501_140155,442,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_2.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_3.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_4.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_5.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_6.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00294_20240501_140155_7.JPG",POC,20240501_140155,459,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_8.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00294_20240501_140155_9.JPG",AA,20240501_140155,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_0.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_1.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_2.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_3.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_4.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_5.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_6.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00201_20240501_135825_7.JPG",POC,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00201_20240501_135825_8.JPG",POC,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00201_20240501_135825_9.JPG",AA,20240501_135825,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_0.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_1.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_2.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_3.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_4.JPG",AA,20240501_140102,469,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/ZO_DSC00273_20240501_140102_5.JPG",ZO,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_6.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_7.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_8.JPG",AA,20240501_140102,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00273_20240501_140102_9.JPG",AA,20240501_140102,376,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00236_20240501_135941_0.JPG",AA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00236_20240501_135941_1.JPG",AA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00236_20240501_135941_2.JPG",AA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00236_20240501_135941_3.JPG",AA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/LEPA_DSC00236_20240501_135941_4.JPG",LEPA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00236_20240501_135941_5.JPG",POC,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00236_20240501_135941_6.JPG",POC,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00236_20240501_135941_7.JPG",AA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00236_20240501_135941_8.JPG",POC,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00236_20240501_135941_9.JPG",AA,20240501_135941,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00257_20240501_140028_0.JPG",AA,20240501_140028,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/ACT_DSC00257_20240501_140028_1.JPG",ACT,20240501_140028,500,500
